"WebID","Area","Data_label","2016","2016%","2011","2011%","2006","2006%","2001","2001%","Data Type",
"40","New South Wales","Philippines","86749","1.1597","70399","1.0177","57668","0.8819","52224","0.8269","UR",
"40","New South Wales","Poland","13451","0.1798","14326","0.2071","15185","0.2322","16870","0.2671","UR",
"40","New South Wales","South Korea","51816","0.6927","41852","0.6050","33182","0.5074","27969","0.4429","UR",
"40","New South Wales","Singapore","12730","0.1702","11261","0.1628","9680","0.1480","8463","0.1340","UR",
"40","New South Wales","South Africa","43058","0.5756","40267","0.5821","32875","0.5028","28631","0.4533","UR",
"40","New South Wales","Serbia / Montenegro (fmr Yugoslavia)","15525","0.2076","16021","0.2316","18169","0.2779","21998","0.3483","UR",
"40","New South Wales","Sri Lanka","28732","0.3841","23750","0.3433","19084","0.2918","16885","0.2674","UR",
"40","New South Wales","Thailand","26719","0.3572","17512","0.2532","12274","0.1877","9756","0.1545","UR",
"40","New South Wales","Turkey","12808","0.1712","12919","0.1868","12458","0.1905","12130","0.1921","UR",
"40","New South Wales","United Kingdom","270877","3.6213","274346","3.9659","265382","4.0585","274881","4.3525","UR",
"40","New South Wales","United States of America","30081","0.4021","26527","0.3835","21606","0.3304","19250","0.3048","UR",
